0100    00        NOP    AF: 0000, BC: 0000, DE: 0000, HL: 0000, SP: FFFE CB: false
0101    C3 50 01  JP     AF: 0000, BC: 0000, DE: 0000, HL: 0000, SP: FFFE CB: false
0150    C3 0C 02  JP     AF: 0000, BC: 0000, DE: 0000, HL: 0000, SP: FFFE CB: false
020C    AF        XOR    AF: 0000, BC: 0000, DE: 0000, HL: 0000, SP: FFFE CB: false
020D    21 FF DF  LD     AF: 0080, BC: 0000, DE: 0000, HL: 0000, SP: FFFE CB: false
0210    0E 10     LD     AF: 0080, BC: 0000, DE: 0000, HL: DFFF, SP: FFFE CB: false
0212    06 00     LD     AF: 0080, BC: 0010, DE: 0000, HL: DFFF, SP: FFFE CB: false
0214    32        LD     AF: 0080, BC: 0010, DE: 0000, HL: DFFF, SP: FFFE CB: false
0215    05        DEC    AF: 0080, BC: 0010, DE: 0000, HL: DFFE, SP: FFFE CB: false
0216    20 FC     JR     AF: 0060, BC: FF10, DE: 0000, HL: DFFE, SP: FFFE CB: false
0214    32        LD     AF: 0060, BC: FF10, DE: 0000, HL: DFFE, SP: FFFE CB: false
0215    05        DEC    AF: 0060, BC: FF10, DE: 0000, HL: DFFD, SP: FFFE CB: false
0216    20 FC     JR     AF: 0040, BC: FE10, DE: 0000, HL: DFFD, SP: FFFE CB: false
0214    32        LD     AF: 0040, BC: FE10, DE: 0000, HL: DFFD, SP: FFFE CB: false
0215    05        DEC    AF: 0040, BC: FE10, DE: 0000, HL: DFFC, SP: FFFE CB: false
0216    20 FC     JR     AF: 0040, BC: FD10, DE: 0000, HL: DFFC, SP: FFFE CB: false
0214    32        LD     AF: 0040, BC: FD10, DE: 0000, HL: DFFC, SP: FFFE CB: false
0215    05        DEC    AF: 0040, BC: FD10, DE: 0000, HL: DFFB, SP: FFFE CB: false
0216    20 FC     JR     AF: 0040, BC: FC10, DE: 0000, HL: DFFB, SP: FFFE CB: false
0214    32        LD     AF: 0040, BC: FC10, DE: 0000, HL: DFFB, SP: FFFE CB: false
0215    05        DEC    AF: 0040, BC: FC10, DE: 0000, HL: DFFA, SP: FFFE CB: false
